
🇨🇳󠁧󠁢󠁥󠁮央视频道,#genre#
CCTV1-综合[1920*1080],http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV1-综合[1920*1080],http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?
CCTV1-综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV1-综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225642/index.m3u8
CCTV1-综合[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1-综合[1920*1080],http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1-综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://ncyd.jilu8.cn/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.134.32.101:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1-综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1-综合[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合[1920*1080],http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1-综合[1920*1080],http://117.169.120.244:8080/wh7f454c46tw2520989601_203106496/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225618/index.m3u8?icpid=88888910&RTS=1648965019&from=79102&ocs=2_117.169.120.241_8080&hms_devid=1402&online=1648965019&vqe=3
CCTV1-综合[1920*1080],http://60.10.167.88:808/hls/1/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8$江西宜春8M
CCTV1-综合[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1-综合[1920*1080],http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV1-综合[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221226225/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221226221/index.m3u8
CCTV1-综合[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV1-综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV1-综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV1-综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV1-综合[1280*720],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV1-综合[1280*720],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/2300.m3u8
CCTV1-综合[1280*720],http://39.135.138.59:18890/TVOD/88888910/224/3221225630/index.m3u8
CCTV1-综合[1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1-综合[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225630/index.m3u8
CCTV2-财经[1920*1080],http://117.169.121.162:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://hms144nc1972679571.live.aikan.miguvideo.com/wh7f454c46tw1367597789_986251175/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=124.222.137.170&timestamp=20220829051304&ContentId=265667329&timezone=UTC&mtv_session=3a72ceba3ac665546cb73fabdc40bd8b&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d9afe5e7950888c1a04ca5a47e51f660
CCTV2-财经[1920*1080],http://39.134.116.30:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV2-财经[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P
CCTV2-财经[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV2-财经[1920*1080],http://ncyd.jilu8.cn/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经[1920*1080],http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2-财经[1920*1080],http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV2-财经[1920*1080],http://39.134.32.108:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2-财经[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8codeyj
CCTV2-财经[1920*1080],http://60.10.167.88:808/hls/2/index.m3u8
CCTV2-财经[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8$江西宜春8M
CCTV2-财经[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV2-财经[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV2-财经[1024*576],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8
CCTV2-财经[1024*576],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel2/2300.m3u8
CCTV3-综艺[1920*1080],http://117.169.121.162:6610/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225634/index.m3u8
CCTV3-综艺[1920*1080],http://hms124nc1972679569.live.aikan.miguvideo.com/wh7f454c46tw2527029411_41260484/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.150.248.38&timestamp=20220902072210&ContentId=265667206&timezone=UTC&mtv_session=36ab5975fbd743a08231254a1f9434a2&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=12cc47515a3c5f7a099951f84a9769e1
CCTV3-综艺[1920*1080],http://182.242.221.89/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV3-综艺[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3-综艺[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8codeyj
CCTV3-综艺[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3-综艺[1920*1080],http://111.59.189.40:8445/tsfile/live/1002_1.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8$江西宜春8M
CCTV3-综艺[1920*1080],http://39.135.138.59:18890/TVOD/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV3-综艺[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV3-综艺[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV3-综艺[1024*576],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel3/index.m3u8
CCTV3-综艺[1024*576],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel3/2300.m3u8
CCTV4-中文国际[1024*576],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV4-中文国际[1024*576],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/2300.m3u8
CCTV4-中文国际[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://hms244nc1972679581.live.aikan.miguvideo.com/wh7f454c46tw2168089571_729979938/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.150.234.219&timestamp=20220903044441&ContentId=265667639&timezone=UTC&mtv_session=c96ce18c688885de47a3efcd50b4d291&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=080c4d06aa5dc2b2e7ddd2eb911507b2
CCTV4-中文国际[1920*1080],http://61.160.152.215/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4-中文国际[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV4-中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/.m3u8
CCTV4-中文国际[1920*1080],http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?
CCTV4-中文国际[1920*1080],http://ncyd.jilu8.cn/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV4-中文国际[1920*1080],http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV4-中文国际[1920*1080],http://111.59.189.40:8445/tsfile/live/1003_1.m3u8
CCTV4-中文国际[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8$江西宜春8M
CCTV4-中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$4M1080P
CCTV4-中文国际[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV4-中文国际[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV4-中文国际[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV4-中文国际[768*576],http://60.10.167.88:808/hls/4/index.m3u8
CCTV5-体育[1280*720],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel5/2300.m3u8
CCTV5-体育[1280*720],http://hms424nc1972679598.live.aikan.miguvideo.com/wh7f454c46tw2239780000_-194016373/wd_r2/cctv/cctv5hdnew/1200/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.150.250.74&timestamp=20220904043732&ContentId=265667565&timezone=UTC&mtv_session=4ea2fb4d32f4015e8915e1b846516709&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=776269b5e2338c625fc193d081d70b56
CCTV5-体育[1280*720],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225751/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225753/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225755/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225752/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225754/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225756/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.60:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.60:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.60:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.60:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.60:18890/PLTV/88888888/224/3221225755/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV5-体育[1280*720],http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV5-体育[1920*1080],http://39.134.115.163:8080/TVOD/88888910/224/3221225648/index.m3u8
CCTV5-体育[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5-体育[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5-体育[1920*1080],http://111.59.189.40:8445/tsfile/live/0113_1.m3u8
CCTV5-体育[1920*1080],http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV5-体育[1920*1080],http://39.135.138.59:18890/PLTV/88888888/224/3221225767/index.m3u8
CCTV5-体育[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5-体育[1920*1080],http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
